AFF_LOVE_POINT	Body za lásku: %d%%
ALIGNMENT_NAME	Hodnost:
ATTACK_ERROR_UNKNOWN	Neznámá chyba v útoku: %s
CANNOT_ATTACK_DEST_IN_SAFE	Soupeø je pøíliš daleko.
CANNOT_ATTACK_SELF_IN_SAFE	Odtud nemùžu zaútoèit na nepøítele.
CANNOT_EQUIP_IN_EXCHANGE	Když obchoduješ, nemùžeš mìnit výzbroj.
CANNOT_EQUIP_IN_SHOP	Když obchoduješ, nemùžeš mìnit výzbroj.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nemùžeš soukromý stánek otevøít na veøejném místì.
CANNOT_SHOOT_DEST_IN_SAFE	Nepøítel je pøíliš daleko.
CANNOT_SHOOT_EMPTY_ARROW	Potøebuji šíp.
CANNOT_SHOOT_SELF_IN_SAFE	Odtud nemùžu zaútoèit na nepøítele.
CANNOT_SKILL_APPROACH	Jsem si jistý, že se už blíž nedostanu.
CANNOT_SKILL_ATTACK	Nemùžu na to zaútoèit.
CANNOT_SKILL_DEST_IN_SAFE	Soupeø je pøíliš daleko.
CANNOT_SKILL_EQUIP_FISHING_ROD	Potøebuji rybáøský prut.
CANNOT_SKILL_HAVE_TO_RIDE	Potøebuji nejdøív konì, než to použiji.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nemám prázdnou láhev.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nemám láhev s jedem.
CANNOT_SKILL_NEED_TARGET	Kdo je cíl?
CANNOT_SKILL_NOT_ENOUGH_HP	Nemám dostatek ZB!
CANNOT_SKILL_NOT_ENOUGH_SP	Nemám dostatek MB!
CANNOT_SKILL_NOT_HORSE_SKILL	Když jedu na koni, tohle nemùžu použít.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Tuto schopnost nemùžu nasadit ve spojení s touto zbraní.
CANNOT_SKILL_NOT_YET_LEARN	Tuto schopnost jsem se ještì nenauèil.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	To pùsobí jen na èleny skupiny.
CANNOT_SKILL_ONLY_FOR_CORPSE	To pùsobí jen na mrtvé.
CANNOT_SKILL_REMOVE_FISHING_ROD	Tuto schopnost nemùžu použít ve spojení s rybáøským prutem.
CANNOT_SKILL_SELF_IN_SAFE	Odtud nemùžu zaútoèit.
CANNOT_SKILL_USE_SELF	Toto nemùžu použít sám na sobì.
CANNOT_SKILL_WAIT_COOLTIME	Tuto schopnost nemùžu zatím použít.
CANNOT_WHISPER_DEST_REFUSE	%s kompletnì zablokoval šeptání.
CANNOT_WHISPER_NOT_LOGON	%s není online.
CANNOT_WHISPER_SELF_REFUSE	Nemùžeš s nikým šeptat, pokud jsi kompletnì zablokoval šeptání.
CHANNEL	Kanál
CHANNELING_CANNOT_LOGOUT	Nemùžeš zpìt na stránku s pøihlášením.
CHANNEL_EMPTY_SERVER	Žádný server
CHANNEL_NORMAL	Kanál %d
CHANNEL_NOTIFY_FULL	Tento kanál je plný! Zvol si prosím jiný.	
CHANNEL_NOT_FIND_INFO	Neobdržíš žádné informace o kanálu.
CHANNEL_PVP	Volný souboj
CHANNEL_SELECT_CHANNEL	Zvol si kanál
CHANNEL_SELECT_REGION	Zvolit místo na vystavení úètenky
CHANNEL_SELECT_SERVER	Zvolit server
CHANNEL_TEST_SERVER	Vyzkoušet server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	Všichni
CHAT_BLOCK	Blokovat
CHAT_GUILD	Cech
CHAT_INFORMATION	Informace
CHAT_INSULT_STRING	Vìta obsahuje nepøípustná slova.
CHAT_LOG	Zobrazit staré zprávy [L]
CHAT_LOG_TITLE	Zobrazit protokol
CHAT_NORMAL	Normální
CHAT_NOTICE	Oznámení
CHAT_PARTY	Skupina
CHAT_SEND_CHAT	Poslat chat
CHAT_SEND_MEMO	Poslat šepot [Shift+Enter]
CHAT_SHOUT	Zavolat
CHAT_SHOUT_LIMIT	Mùžeš volat jenom každých 15 vteøin.
CHAT_WHISPER	Šeptat
CREATE_ERROR_GM_NAME	V názvu postavy nesmíš použít ,GM‘.
CREATE_ERROR_INSULT_NAME	Toto jméno je nepøípustné.
CREATE_EXIST_SAME_NAME	Tento název je už zadán pro jinou postavu.
CREATE_FAILURE	Nemùžeš vytvoøit tuto postavu.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Zadej jméno.
CREATE_PLUS_STAT	Status-body jsou ještì k dispozici.
DAY	T
DO_YOU_BUY_ITEM1	Chceš koupit %s za %s?
DO_YOU_BUY_ITEM2	Chceš koupit %s %s za %s?
DO_YOU_DROP_MONEY	Chceš nechat padnout %d Yang?
DO_YOU_SELL_ITEM1	Chceš prodat %s za %s?
DO_YOU_SELL_ITEM2	Chceš prodat %s %s za %s?
DROP_ITEM_FAILURE_EQUIP_ITEM	Nemùžeš nechat spadnout vybavený pøedmìt.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nemùžeš nechat spadnout vybavený pøedmìt, když otevíráš soukromý stánek.
DROP_MONEY_FAILURE_1000_OVER	Mùžeš nechat spadnout maximálnì 999 Yangù.
EMOTION_ANGRY	K zlosti
EMOTION_ATTRACTIVE	Pokušení
EMOTION_BANTER	Uštìpaèný
EMOTION_CHEERS_1	Jásot 1
EMOTION_CHEERS_2	Jásot 2
EMOTION_CHEERUP	Jásat
EMOTION_CHOOSE_ONE	Zvol si cíl.
EMOTION_CLAP	Potlesk
EMOTION_CLAP_KISS	Pusa
EMOTION_CONGRATULATION	Útìcha
EMOTION_DANCE_1	Tanec 1
EMOTION_DANCE_2	Tanec 2
EMOTION_DANCE_3	Tanec 3
EMOTION_DANCE_4	Tanec 4
EMOTION_DANCE_5	Tanec 5
EMOTION_FORGIVE	Odpuštìní
EMOTION_FRENCH_KISS	Líbání jazykem
EMOTION_JOY	Radost
EMOTION_SAD	Smutný
EMOTION_SHY	Odmítnutí
EMOTION_SLAP	Rána
EMPIRE_A	Øíše Shinsoo
EMPIRE_B	Øíše Chunjo
EMPIRE_C	Øíše Jinno
EXCHANGE_CANNOT_GIVE	S tímto pøedmìtem se nedá obchodovat.
EXCHANGE_CANT_EDIT_MONEY	Ted' nemùžeš zmìnit èástku.
EXCHANGE_FAILURE_EQUIP_ITEM	Vybavené pøedmìty nemùžeš vymìnit.
EXCHANGE_MONEY	Èástka
EXCHANGE_TITLE	Obchodovat s %s
FISHING_FAILURE	Ztratil jsi návnadu na ryby.
FISHING_NOTIFY1	Vypadá to, že %s zabralo.
FISHING_NOTIFY2	Vypadá to, že bylo %s uloveno.
FISHING_SUCCESS1	Chytil jsi %s !
FISHING_SUCCESS2	Máš %s!
FISHING_UNKNOWN	Nevím, co jsem chytil.
FISHING_WRONG_PLACE	Tady nemùžu lovit ryby.
FOR_FEMALE	Pro ženy
FOR_MALE	Pro muže
GAME_CANNOT_MINING	Když jedeš na koni, nemùžeš hledat nerostné suroviny.
GAME_CANNOT_PICK_ITEM	Nemùžeš sebrat tento pøedmìt, protože jsi ho neukoøistil.
GAME_INIT_ERROR_CURSOR	Myší kurzor nemohl být umístìn.
GAME_INIT_ERROR_DIRECTX	Aby hra fungovala, musí být instalován DirectX 8.1.\nNainstaluj DirectX 8.1 nebo vyšší.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nebylo nalezeno žádné grafické vybavení, které tato hra vyžaduje.\nPøesvìdèi se, zda máš správnì instalovanou VGA-kartu.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafické zaøízení nebylo nalezeno.\nPøesvìdèi se, zda máš k dispozici VGA-kartu.\nAlternativnì mùžeš zaktivovat zrychlení hardware.\n(Nastav zrychlení hardware na maximum v:\nOvládací panely-->Zobrazení-->Nastavení-->Rozšíøené-->registraèní karta Odstranìní problémù)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Grafická karta tvého poèítaèe nepodporuje modus okna ve 32bitovém módu.\nPøepni na 16bitový modus nebo použij celoplošné zobrazení.
GAME_INIT_ERROR_ITEM_PROTO	Nejsou k dispozici žádné údaje o pøedmìtech.\nNainstaluj hru znovu.
GAME_INIT_ERROR_MAIN_WINDOW	Hlavní okno nemohlo být vytvoøeno.
GAME_INIT_ERROR_MOB_PROTO	Nejsou k dispozici žádné údaje o pøíšerách.\nNainstaluj hru znovu.
GAME_INIT_ERROR_NETWORK	Nebylo vytvoøeno spojení po síti.\nPøezkoušej pøipojení na internet.
GAME_PICK_MONEY	Obdržel jsi %s Yangù.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Výška není 128 pixelù.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Výška není 12 pixelù.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Šíøka není 16 pixelù.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Šíøka není 64 pixelù.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Hra nepodporuje tento obrázek.
GUILDMARK_UPLOADER_ERROR_PATH	Pøesuò soubory do složky metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nebyl zvolen žádný obrazový soubor.
GUILDWAR_CTF_TITLE	Zmocnit se praporu
GUILDWAR_NORMAL_TITLE	Polní bitva
GUILDWAR_QUESTION_LINE_1	%s cech vyhlásil tvému cechu válku.
GUILDWAR_QUESTION_LINE_2	Pøijímáš? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Dìjištì války cechù
GUILD_BUILDING_GRADE	Hodnost
GUILD_BUILDING_NAME	Název budovy
GUILD_CANNOT_HEAL_GSP_ANYMORE	Bitva draèí duch je již plná.
GUILD_COMMENT	Psát
GUILD_CREATE_ERROR_INSULT_NAME	Název cechu je nepøípustný.
GUILD_DEFAULT_GRADE	Èlenové cechu
GUILD_DELETE	Smazat
GUILD_DEPOSIT	Deponovat
GUILD_DO_YOU_HEAL_GSP	Chceš znovuobnovit pro %d Yang %d draèího ducha?
GUILD_DO_YOU_JOIN	, pøeješ si vstoupit do cechu ?
GUILD_EMPTY_AREA	Planá zemì
GUILD_ENEMY_GUILD_NAME	Název nepøátelského cechu
GUILD_FACILITY	Vedlejší budova
GUILD_GEM	Drahokam
GUILD_HEADQUARTER	Hlavní budova
GUILD_HEAL_GSP	Obnovit draèího ducha
GUILD_INFO_ENEMY_GUILD_EMPTY	Žádná
GUILD_MARK_NOT_ENOUGH_LEVEL	Je zapotøebí minimálnì úrovnì 4.
GUILD_NAME	Název cechu
GUILD_NOT_ENOUGH_MATERIAL	Nemáš dostatek stavebního materiálu pro tuto budovu.
GUILD_NOT_ENOUGH_MONEY	Nemáš dostatek Yang pro tuto budovu.
GUILD_NO_NOTICE_PERMISSION	Nejsi oprávnìn, zveøejòovat oznámení.
GUILD_OBJECT	Objekty
GUILD_OFFER_EXP	Zkušenost k investování
GUILD_SHORT_EXP	Nedostatek zkušeností
GUILD_TILE_BASEINFO	Základní informace
GUILD_TILE_BOARD	Tabule
GUILD_TILE_GRADE	Správa pozic
GUILD_TILE_INFO	Informace o cechu
GUILD_TILE_MEMBER	Èlenové cechu
GUILD_TILE_SKILL	Schopnosti  cechu
GUILD_WAR_LIMIT_30MIN	Èas: 30 minut
GUILD_WAR_REWARD_POTION	Odmìna: Vítìz obdrží elixíry
GUILD_WAR_USE_BATTLE_MAP	Použít dìjištì cechovní války
GUILD_WAR_USE_NORMAL_MAP	Použít normální mapu
GUILD_WAR_WIN_CHECK_SCORE	Nejvyšší výsledek vyhraje válku.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Zmocni se praporu protivníka
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	a doprav jej na vlastní základnu.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Pøemož všechny soupeøi, abys vyhrál.
GUILD_WITHDRAW	Ústup
GUILD_YOU_DO_NOT_JOIN	Nepatøíš k žádnému cechu.
HORSE_HEALTH0	Mrtvý
HORSE_HEALTH1	Hladový
HORSE_HEALTH2	Hladovìjící
HORSE_HEALTH3	Plný
HORSE_LEVEL1	Normální kùò
HORSE_LEVEL2	Opancéøovaný kùò
HORSE_LEVEL3	Vojenský kùò
HOUR	hod.
HOW_MANY_ITEM_DO_YOU_DROP1	Chceš nechat padnout %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Chceš nechat padnout %s %d?
INPUT_MATRIX_CARD_NUMBER	Zadat èíslo Matrix-karty
INPUT_MATRIX_CARD_TITLE	Matrix-karta
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Zadat vymazávající kód ze správy kont.
