VNUM	LOCALE_NAME
1	Yang
2	Versión Española
10	Espada +0
11	Espada +1
12	Espada +2
13	Espada +3
14	Espada +4
15	Espada +5
16	Espada +6
17	Espada +7
18	Espada +8
19	Espada +9
20	Espada Larga +0
21	Espada Larga +1
22	Espada Larga +2
23	Espada Larga +3
24	Espada Larga +4
25	Espada Larga +5
26	Espada Larga +6
27	Espada Larga +7
28	Espada Larga +8
29	Espada Larga +9
30	Espada Creciente +0
31	Espada Creciente +1
32	Espada Creciente +2
33	Espada Creciente +3
34	Espada Creciente +4
35	Espada Creciente +5
36	Espada Creciente +6
37	Espada Creciente +7
38	Espada Creciente +8
39	Espada Creciente +9
40	Espada de Bambú +0
41	Espada de Bambú +1
42	Espada de Bambú +2
43	Espada de Bambú +3
44	Espada de Bambú +4
45	Espada de Bambú +5
46	Espada de Bambú +6
47	Espada de Bambú +7
48	Espada de Bambú +8
49	Espada de Bambú +9
50	Espada Ancha +0
51	Espada Ancha +1
52	Espada Ancha +2
53	Espada Ancha +3
54	Espada Ancha +4
55	Espada Ancha +5
56	Espada Ancha +6
57	Espada Ancha +7
58	Espada Ancha +8
59	Espada Ancha +9
60	Espada de Plata +0
61	Espada de Plata +1
62	Espada de Plata +2
63	Espada de Plata +3
64	Espada de Plata +4
65	Espada de Plata +5
66	Espada de Plata +6
67	Espada de Plata +7
68	Espada de Plata +8
69	Espada de Plata +9
70	Espada de Orquídea +0
71	Espada de Orquídea +1
72	Espada de Orquídea +2
73	Espada de Orquídea +3
74	Espada de Orquídea +4
75	Espada de Orquídea +5
76	Espada de Orquídea +6
77	Espada de Orquídea +7
78	Espada de Orquídea +8
79	Espada de Orquídea +9
80	Espada Bastarda +0
81	Espada Bastarda +1
82	Espada Bastarda +2
83	Espada Bastarda +3
84	Espada Bastarda +4
85	Espada Bastarda +5
86	Espada Bastarda +6
87	Espada Bastarda +7
88	Espada Bastarda +8
89	Espada Bastarda +9
90	Espada Bárbara +0
91	Espada Bárbara +1
92	Espada Bárbara +2
93	Espada Bárbara +3
94	Espada Bárbara +4
95	Espada Bárbara +5
96	Espada Bárbara +6
97	Espada Bárbara +7
98	Espada Bárbara +8
99	Espada Bárbara +9
100	Espada Sangrienta +0
101	Espada Sangrienta +1
102	Espada Sangrienta +2
103	Espada Sangrienta +3
104	Espada Sangrienta +4
105	Espada Sangrienta +5
106	Espada Sangrienta +6
107	Espada Sangrienta +7
108	Espada Sangrienta +8
109	Espada Sangrienta +9
