AFF_LOVE_POINT	Szerelem pont: %d%%
ALIGNMENT_NAME	Rang:
ATTACK_ERROR_UNKNOWN	Ismeretlen Támadás Hiba: %s
CANNOT_ATTACK_DEST_IN_SAFE	Túl messze van az ellenség.
CANNOT_ATTACK_SELF_IN_SAFE	Nem tudok támadni.
CANNOT_EQUIP_IN_EXCHANGE	Nem válthatsz felszerelést, amikor kereskedsz.
CANNOT_EQUIP_IN_SHOP	Nem válthatsz felszerelést, amikor kereskedsz.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nyilvános területen nem nyithatsz magán boltot.
CANNOT_SHOOT_DEST_IN_SAFE	Az ellenség túl messze van.
CANNOT_SHOOT_EMPTY_ARROW	Szükségem van egy nyílra.
CANNOT_SHOOT_SELF_IN_SAFE	Innen nem tudom megtámadni az ellenséget.
CANNOT_SKILL_APPROACH	Biztos vagyok benne, hogy nem tudok közelebb menni.
CANNOT_SKILL_ATTACK	Nem tudom megtámadni.
CANNOT_SKILL_DEST_IN_SAFE	Túl messze az ellenség.
CANNOT_SKILL_EQUIP_FISHING_ROD	Szükslgem van egy horgászbotra.
CANNOT_SKILL_HAVE_TO_RIDE	Szükségem van egy lóra, hogy fel tudjam használni.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nincs üres üvegem.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nincs méregtartóm.
CANNOT_SKILL_NEED_TARGET	Ki a célpont?
CANNOT_SKILL_NOT_ENOUGH_HP	Nincs elég TP-m!
CANNOT_SKILL_NOT_ENOUGH_SP	Nincs elég MP-m!
CANNOT_SKILL_NOT_HORSE_SKILL	Nem tudom használni, amíg lovagolok.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Ezt a készséget nem hasznosíthatom evvel a fegyverrel.
CANNOT_SKILL_NOT_YET_LEARN	Nem tanultam ki ezt a készséget.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Csak csoporttagokra hat.
CANNOT_SKILL_ONLY_FOR_CORPSE	Csak halottakra hat.
CANNOT_SKILL_REMOVE_FISHING_ROD	Ezt a készséget nem tudom horgászbottal használni.
CANNOT_SKILL_SELF_IN_SAFE	Innen nem tudok támadni.
CANNOT_SKILL_USE_SELF	Saját magamon nem használhatom.
CANNOT_SKILL_WAIT_COOLTIME	Ezt a készséget még nem tudom bevetni.
