VNUM	LOCALE_NAME
101	Divoký pes
102	Vlk
103	Silný vlk
104	Modrý vlk
105	Modrý silný vlk
106	Šedý vlk
107	Šedý silný vlk
108	Divoèák
109	Èervený divoèák
110	Medvìd
111	Medvìd grizzly
112	Èerný medvìd
113	Hnìdý medvìd
114	Tygr
115	Bílý tygr
131	Prokletý vlk
132	Prokletý silný vlk
133	Prokletý modrý vlk
134	Prokletý modrý silný vlk
135	Prokletý šedý vlk
136	Prokletý šedý silný vlk
137	Prokletý divoèák
138	Prokletý èervený divoèák
139	Prokletý medvìd
140	Prokletý medvìd grizzly
141	Prokletý èerný medvìd
142	Prokletý hnìdý medvìd
143	Prokletý tygr
144	Prokletý bílý tygr
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Hladový divoký pes
172	Hladový vlk
173	Hladový silný vlk
174	Hladový modrý vlk
175	Hladový modrý silný vlk
176	Hladový šedý vlk
177	Hladový šedý silný vlk
178	Hladový divoèák
179	Hladový èervený divoèák
180	Hladový medvìd
181	Hladový medvìd grizzly
182	Hladový èerný medvìd
183	Hladový hnìdý medvìd
184	Hladový tygr
185	Hladový bílý tygr
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Vojaèka Bílé Pøísahy
302	Luèištnice Bílé Pøísahy
303	Generálka Bílé Pøísahy
304	Velitelka Bílé Pøísahy
331	Vojaèka Bílé Pøísahy
332	Luèištnice Bílé Pøísahy
333	Generálka Bílé Pøísahy
334	Velitelka Bílé Pøísahy
351	Zbabìlá vojaèka Pøísahy
352	Zbabìlý støelec Pøísahy
353	Zbabìlý generál Pøísahy
354	Zbabìlý velitel Pøísahy
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Bezduchá Mi-Jung
396	Bezduchá Eun-Jung
397	Bezduchá Se-Rang
398	Bezduchá Jin-Hee
401	Voják Èerného vìtru
402	Posedlý èerným vìtrem
403	Luèištník Èerného vìtru
404	Jak-To Èerného vìtru
405	To-Su Èerného vìtru
406	Gu-Ryung Èerného vìtru
431	Voják Èerné bouøe
432	Posedlý èernou bouøí
433	Luèištník Èerné bouøe
434	Joh-Hwan Èerné bouøe
435	Kyuk-Jang Èerné bouøe
436	Pho-Hwan Èerné bouøe
451	Zlý voják Èerné bouøe
452	Zlý posedlý bouøí
453	Zlý luèištník Bouøe
454	Zlý Joh-Hwan Bouøe
455	Zlý Kyuk-Jang Bouøe
456	Zlý Pho-Hwan Bouøe
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Divoký pìšák
502	Divoký poddaný
503	Divoký lukostøelec
504	Divoký generál
531	Brutální voják
532	Brutální posedlý
533	Brutální lukostøelec
534	Brutální specialista
551	Silný divoký pìšák
552	Silný divoký poddaný
553	Silný divoký lukostøelec
554	Silný divoký generál
591	Brutální velitel
595	Brutální Geum-Chul
601	Ork
602	Orèí zvìd
603	Orèí bojovník
604	Orèí šaman
631	Silný ork
632	Silný orèí zvìd
633	Silný orèí bojovník
634	Silný orèí šaman
635	Silný orèí generál
636	Èerný ork
637	Èerný obøí ork
651	Hrdý velký ork
652	Hrdý velký orèí zvìd
653	Hrdý velký orèí bojovník
654	Hrdý velký orèí šaman
655	Hrdý velký orèí generál
656	Hrdý èerný ork
657	Hrdý èerný obøí ork
691	Vrchní ork
692	Silný vrchní ork
693	Obrozený vùdce orkù
701	Tmavý fanatik
702	Tmavý Arahan
703	Tmavý bojovník
704	Vrchní tmavý arahan
705	Tmavý popravèí
706	Tmavý muèitel
707	Tmavý zaøíkávaè
731	Hrdý tmavý fanatik
732	Hrdý tmavý arahan
733	Hrdý tmavý bojovník
734	Hrdý tmavý plukovník
735	Hrdý tmavý støelec
736	Silný tmavý muèitel
737	Silný tmavý zaøíkávaè
751	Vysoký fanatik
752	Vysoký arahan
753	Vysoký bojovník arahan
754	Vysoký plukovník arahan
755	Vysoký popravèí
756	Vysoký muèitel
757	Vysoký zaøíkávaè
771	Brutální fanatik
772	Brutální arahan
773	Brutální bojovník arahan
774	Brutál. plukovník arahan
775	Brutální popravèí
776	Brutální muèitel
777	Brutální zaøíkávaè
791	Tmavý vùdce
792	Tmavý vùdce duchù
793	Silný tmavý vùdce
794	Silný vùdce duchù
795	Silný bojovník
796	Silný tmavý bojovník
901	Duch mrtvol
902	Pes útrapy
903	Muž útrapy
