ACCE_ABSORB_COST	Absorption price: %d
ACCE_ALREADY_REGISTER	This item has already been used.
ACCE_DEL_ABSORDITEM	Absorb item, destroying it in the process?
ACCE_DEL_SERVEITEMsh 2 will be destroyed should the combination fail.
ACCE_DEL_SERVEITEM2sh 2 will be destroyed should the combination fail.
ACCE_INITEM	Drag the items into the window.
ACCE_MAXGRADE	This has already been customized.
ACCE_MAX_DRAINRATE	Max. Absorption Rate
ACCE_NOTABSORBITEM	You cannot use a weapon or armor piece that has already been absorbed.
ACCE_NOT_SEALITEM	You cannot use any soulbound items.
ACCE_NOT_USINGITEM	You cannot combine an equipped item.
ACCE_NOT_WINDOWOPEN	You cannot use the item when the window for combination is open.
ACCE_POSSIBLE_ACCE	You can only use Shoulder Sashes.
ACCE_POSSIBLE_ACCEITEM	You can only extract bonuses from weapons and armor.
AFF_LOVE_POINT	Love points: %d%%	
ALIGNMENT_NAME	Rank points:	
ATTACK_ERROR_UNKNOWN	Unknown attack error: %s	
ATTENDANCE_REWARD_QUESTION	Do you want to collect your reward?
AUTO_TOOLTIP_LINE1	Skills: Select skills for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE2	Hint: You can change the activation interval (in seconds) below each skill.
AUTO_TOOLTIP_LINE3	Potions: Select potions for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE4	Hint: HP and SP potions will be activated as soon as the level falls below the % value shown below each potion.
AUTO_TOOLTIP_LINE5	Hint: The duration of other potions is given in seconds.
AUTO_TOOLTIP_TITLE	Auto-Hunting Help
BATTLE_POINT	Combat Points
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.	
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.	
CANNOT_EQUIP_IN_EXCHANGE	You cannot change your equipment while trading.
CANNOT_EQUIP_IN_SHOP	You cannot change your equipment while trading.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	You cannot open a private shop in a public area.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.	
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.	
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here. 	
CANNOT_SKILL_APPROACH	I am sure that I cannot get any closer.	
CANNOT_SKILL_ATTACK	I cannot attack that.	
CANNOT_SKILL_BLUE	You cannot use Indigo Wolf Soul when Crimson Wolf Soul is active.
CANNOT_SKILL_DEST_IN_SAFE	The opponent is too far away.	
CANNOT_SKILL_EQUIP_FISHING_ROD	I need a Fishing Pole.
CANNOT_SKILL_HAVE_TO_RIDE	I need a Horse to be able to use this. 	
CANNOT_SKILL_NEED_EMPTY_BOTTLE	I do not have an empty bottle.	
CANNOT_SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle.	
CANNOT_SKILL_NEED_TARGET	Who is the target?	
CANNOT_SKILL_NOT_ENOUGH_HP	I do not have enough HP!	
CANNOT_SKILL_NOT_ENOUGH_SP	I do not have enough SP!	
CANNOT_SKILL_NOT_HORSE_SKILL	I cannot use this while riding.	
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	I cannot use this skill with this weapon.	
CANNOT_SKILL_NOT_YET_LEARN	I have not learned this skill.	
CANNOT_SKILL_ONLY_FOR_ALLIANCE	This only affects group members.	
CANNOT_SKILL_ONLY_FOR_CORPSE	This only affects dead people.	
CANNOT_SKILL_RED	You cannot use Crimson Wolf Soul when Indigo Wolf Soul is active.
CANNOT_SKILL_REMOVE_FISHING_ROD	I cannot use this skill with a Fishing Pole.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.	
CANNOT_SKILL_USE_SELF	I cannot use this on myself.	
CANNOT_SKILL_WAIT_COOLTIME	I cannot use this skill yet.	
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	%s has blocked whispering.
CANNOT_WHISPER_NOT_LOGON	%s is not online.
CANNOT_WHISPER_SELF_REFUSE	You cannot whisper something to someone when you have completely blocked whispering. 
CATEGORY_ARMOR_ARMOR_BODY	Armor
CATEGORY_ARMOR_ARMOR_HEAD	Helmets
CATEGORY_ARMOR_ARMOR_SHIELD	Shields
CATEGORY_COSTUMES	Costumes
CATEGORY_COSTUMES_COSTUME_BODY	Costumes
CATEGORY_COSTUMES_COSTUME_HAIR	Hairstyles
CATEGORY_COSTUMES_COSTUME_WEAPON	Weapon Skins
CATEGORY_COSTUMES_ETC	Other
CATEGORY_COSTUMES_SASH	Shoulder Sashes
CATEGORY_DRAGON_STONE	Dragon Stone Alchemy
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamond
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Garnet
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Ruby
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Sapphire
CATEGORY_DRAGON_STONE_ETC	Other
CATEGORY_EQUIPMENT_ARMOR	Equipment
CATEGORY_EQUIPMENT_JEWELRY	Jewelry
CATEGORY_EQUIPMENT_WEAPON	Weapons
CATEGORY_ETC	Other
CATEGORY_ETC_ETC	Other
CATEGORY_ETC_EVENT	Event Items
CATEGORY_ETC_GIFTBOX	Chests | Boxes
CATEGORY_ETC_MATRIMORY	Marriage
CATEGORY_ETC_PARTI	Art of War Books
CATEGORY_ETC_POLYMORPH	Polymorph Marbles
CATEGORY_ETC_RECIPE	Potion Production
CATEGORY_ETC_SEAL	Soulbinding
CATEGORY_FISHING_PICK	Fishing | Mining
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Pickaxes
CATEGORY_FISHING_PICK_ETC	Other
CATEGORY_FISHING_PICK_FISHING_POLE	Fishing Rods
CATEGORY_FISHING_PICK_FOOD	Fish
CATEGORY_FISHING_PICK_PICK_BOOK	Mining Guides
CATEGORY_FISHING_PICK_STONE	Ores
CATEGORY_JEWELRY_ARMOR_EAR	Earrings
CATEGORY_JEWELRY_ARMOR_FOOTS	Shoes
CATEGORY_JEWELRY_ARMOR_NECK	Necklaces
CATEGORY_JEWELRY_ARMOR_WRIST	Bracelets
CATEGORY_JEWELRY_ITEM_BELT	Belts
CATEGORY_MOUNT_PET	Mounts | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Pet Eggs
CATEGORY_MOUNT_PET_FREE_PET	Evolvable Pets
CATEGORY_MOUNT_PET_MOUNT	Mounts
CATEGORY_POTION	Potions
CATEGORY_POTION_ABILITY	Consumables
CATEGORY_POTION_ETC	Other
CATEGORY_POTION_HAIRDYE	Hair Dyes
CATEGORY_SKILL	Skills
CATEGORY_SKILL_BOOK_OF_OBLIVION	Books of Forgetfulness
CATEGORY_SKILL_ETC	Other
CATEGORY_SKILL_PAHAE	Ward | Boost
CATEGORY_SKILL_SKILL_BOOK	Skill Books
CATEGORY_TUNING	Upgrades
CATEGORY_TUNING_ETC	Other
CATEGORY_TUNING_RESOURCE	Materials
CATEGORY_TUNING_STONE	Spirit Stones
CATEGORY_UNIQUE	Special Items
CATEGORY_UNIQUE_ABILITY	Consumables
CATEGORY_UNIQUE_ETC	Other
CATEGORY_WEAPON_WEAPON_ARROW	Arrows
CATEGORY_WEAPON_WEAPON_BELL	Bells
CATEGORY_WEAPON_WEAPON_BOW	Bows
CATEGORY_WEAPON_WEAPON_CLAW	Claws
CATEGORY_WEAPON_WEAPON_DAGGER	Daggers
CATEGORY_WEAPON_WEAPON_FAN	Fans
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Spears
CATEGORY_WEAPON_WEAPON_QUIVER	Quivers
CATEGORY_WEAPON_WEAPON_SWORD	One-handed Weapons
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Two-handed Weapons
CHANGE_ALREADY_REGISTER	[Transmutation] This item has already been submitted.
CHANGE_LOOK_CHANGE_ITEM	Do you want to transmute this item?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutation] Please first remove the item which you want to transmute.
CHANGE_LOOK_COST	Cost of transmutation: 50,000,000 Yang
CHANGE_LOOK_DEL_ITEM	The absorbed item will be deleted.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutation] This item cannot be transmuted.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutation] You cannot transmute an item while it is equipped.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutation] You cannot submit this item.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutation] The item is soulbound.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutation] Please submit the item you want to transmute.
CHANGE_LOOK_INSERT_ITEM	[Transmutation] You must submit the item first.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutation] This action is not possible while the Transmutation window is open.
CHANGE_LOOK_TITLE	Transmutation
CHANGE_TOOLTIP_LINE1	Place the item you want to transmute on the left.
CHANGE_TOOLTIP_LINE2	Place the other item on the right.
CHANGE_TOOLTIP_LINE3	The appearance of the item on the left will change
CHANGE_TOOLTIP_LINE4	once you confirm the transmutation (V) and pay the Yang.
CHANGE_TOOLTIP_TITLE	Transmutation
CHANNEL	Channel	
CHANNELING_CANNOT_LOGOUT	You cannot go back to the login screen.	
CHANNEL_EMPTY_SERVER	No server	
CHANNEL_NORMAL	Channel %d	
CHANNEL_NOTIFY_FULL	This channel is full! Please choose another one.
CHANNEL_NOT_FIND_INFO	No information found via the Channel.	
CHANNEL_PVP	Free duel	
CHANNEL_SELECT_CHANNEL	Choose the channel	
CHANNEL_SELECT_REGION	Choose region.	
CHANNEL_SELECT_SERVER	Choose server	
CHANNEL_TEST_SERVER	Test server	
CHANNEL_TEST_SERVER_ADDR	Test %s:%d	
CHARACTER_CREATE_MODE	Create character
CHARACTER_SELECT_MODE	Select character
CHAT_ALL	All	
CHAT_BLOCK	Block	
CHAT_DICE_INFO	Throw
CHAT_GUILD	Guild	
CHAT_INFORMATION	Info	
CHAT_INSULT_STRING	This sentence has invalid words in it.	
CHAT_LOG	Show old messages [L]	
CHAT_LOG_TITLE	Chat-log	
CHAT_NORMAL	Normal	
CHAT_NOTICE	Server	
CHAT_PARTY	Group	
CHAT_SEND_CHAT	Send chat	
CHAT_SEND_MEMO	Send whisper[Shift+Enter]
CHAT_SHOUT	Call	
CHAT_SHOUT_LIMIT	You can only call every 15 seconds.	
CHAT_WHISPER	Whispering	
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	You cannot drop money.
CHEQUE_SYSTEM_PICK_WON	You have received %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Sales price]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	This item cannot be used.
COMB_CANT_APPEND_SEALED_ITEM	You cannot use any soulbound items.
COMB_COST	Price: %s
COMB_IS_CONTINUE_PROCESS	Do you want to continue?
COMB_NOTICE	You cannot open a private shop while you're trading books.
COMB_NOTICE_NOT_OPEN	You cannot trade books while you have a private shop open.
