AFF_LOVE_POINT	Puntos de amor: %d%%
ALIGNMENT_NAME	Rank:
ATTACK_ERROR_UNKNOWN	Error desconocido de ataque: %s
CANNOT_ATTACK_DEST_IN_SAFE	El combatiente está demasiado lejos.
CANNOT_ATTACK_SELF_IN_SAFE	No puedo atacar.
CANNOT_EQUIP_IN_EXCHANGE	No puedes cambiar la armadura mientras comercias.
CANNOT_EQUIP_IN_SHOP	No puedes cambiar la armadura mientras comercias.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	No puedes abrir un almacén privado en un área pública.
CANNOT_SHOOT_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SHOOT_EMPTY_ARROW	Necesito una flecha.
CANNOT_SHOOT_SELF_IN_SAFE	No puedo hacer eso.
CANNOT_SKILL_APPROACH	Estoy seguro de que no puedo acercarme más.
CANNOT_SKILL_ATTACK	No puedo atacar.
CANNOT_SKILL_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SKILL_EQUIP_FISHING_ROD	Necesito una caña.
CANNOT_SKILL_HAVE_TO_RIDE	Necesito un caballo antes de poder usar esto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
CANNOT_SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno.
CANNOT_SKILL_NEED_TARGET	¿Quiénl es el objetivo?
CANNOT_SKILL_NOT_ENOUGH_HP	¡No tengo suficiente HP!
CANNOT_SKILL_NOT_ENOUGH_SP	¡No tengo suficiente SP!
CANNOT_SKILL_NOT_HORSE_SKILL	No puedo usar esto mientras cabalgo.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	No puedo usar esta habilidad con este arma.
CANNOT_SKILL_NOT_YET_LEARN	No he aprendido esta habilidad.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Esto sólo afecta a los miembros del grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Esto sólo afecta a los muertos.
CANNOT_SKILL_REMOVE_FISHING_ROD	No puedo usar esta habilidad con una caña.
CANNOT_SKILL_SELF_IN_SAFE	No puedo atacar desde aquí.
CANNOT_SKILL_USE_SELF	No puedo usar esto conmigo mismo.
CANNOT_SKILL_WAIT_COOLTIME	Aún no puedo usar esta habilidad.
CANNOT_WHISPER_DEST_REFUSE	%s bloqueó los susurros completamente.
CANNOT_WHISPER_NOT_LOGON	%s no está conectado.
CANNOT_WHISPER_SELF_REFUSE	No puedes susurrar algo a alguien cuando has bloqueado los susurros totalmente.
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	No puedes regresar a la pantalla de registro.
CHANNEL_EMPTY_SERVER	No servidor
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	¡Este canal está lleno! Por favor, selecciona otro.	
CHANNEL_NOT_FIND_INFO	No puedes obtener esta información.
CHANNEL_PVP	Duelo libre
CHANNEL_SELECT_CHANNEL	Elige el canal
CHANNEL_SELECT_REGION	Elegir la región.
CHANNEL_SELECT_SERVER	Elige servidor
CHANNEL_TEST_SERVER	Test de servidor
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	Todo
CHAT_BLOCK	Bloquear
CHAT_GUILD	Gremio
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contiene palabras inválidas.
CHAT_LOG	Mostrar mensajes antiguos [L]
CHAT_LOG_TITLE	Mostrar protocolo
CHAT_NORMAL	Normal
CHAT_NOTICE	Anuncio
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar chat
CHAT_SEND_MEMO	Enviar susurro[Shift+Enter]
CHAT_SHOUT	Llamar
CHAT_SHOUT_LIMIT	Sólo puedes llamar cada 15 segundos.
CHAT_WHISPER	Conversación
CREATE_ERROR_GM_NAME	No tienes permitido usar 'GM' en el nombre de tu personaje.
CREATE_ERROR_INSULT_NAME	Este nombre es inválido.
CREATE_EXIST_SAME_NAME	Alguien ya está usando este nombre de personaje.
CREATE_FAILURE	No puedes crear el personaje.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introducir el nombre.
CREATE_PLUS_STAT	Todavía hay puntos de estado restantes.
DAY	Días
DO_YOU_BUY_ITEM1	¿Deseas comprar %s por %s?
DO_YOU_BUY_ITEM2	¿Deseas comprar %s %s por %s?
DO_YOU_DROP_MONEY	¿Quieres tirar %d Yang?
DO_YOU_SELL_ITEM1	¿Deseas vender %s por %s?
DO_YOU_SELL_ITEM2	¿Deseas vender %s %s por %s?
DROP_ITEM_FAILURE_EQUIP_ITEM	No puedes tirar objetos equipados.
DROP_ITEM_FAILURE_PRIVATE_SHOP	No puedes dejar caer un objeto equipado si abres un almacén privado.
DROP_MONEY_FAILURE_1000_OVER	Puedes dejar caer un máximo de 999 Yang.
EMOTION_ANGRY	Irritante
EMOTION_ATTRACTIVE	Seducción
EMOTION_BANTER	Burlón
EMOTION_CHEERS_1	Salud 1
EMOTION_CHEERS_2	Salud 2
EMOTION_CHEERUP	Animar
EMOTION_CHOOSE_ONE	Elige un objetivo
EMOTION_CLAP	Aplausos
EMOTION_CLAP_KISS	Beso
EMOTION_CONGRATULATION	Aprobación
EMOTION_DANCE_1	Baile 1
EMOTION_DANCE_2	Baile 2
EMOTION_DANCE_3	Baile 3
EMOTION_DANCE_4	Baile 4
EMOTION_DANCE_5	Baile 5
